10um bubble,,duplicate,,
Wavelength (nm),Abs,Wavelength (nm),Abs,
275.5076904,0.6278222203,275.5076904,0.6263605356,
274.9959412,0.6336814761,274.9959412,0.6321373582,
274.4841614,0.6390707493,274.4841614,0.637839973,
274.0117188,0.6458728313,274.0117188,0.6446009874,
273.4999084,0.6503328681,273.4999084,0.6495979428,
272.9880066,0.6585782766,272.9880066,0.6572854519,
272.5155029,0.6676369309,272.5155029,0.6660968065,
272.00354,0.6741217375,272.00354,0.6730234027,
271.4916382,0.6781476736,271.4916382,0.6778551936,
271.019043,0.6821139455,271.019043,0.6812998652,
270.5070496,0.6892331243,270.5070496,0.6884844303,
269.9950256,0.6958116889,269.9950256,0.6950849891,
269.4829712,0.7028665543,269.4829712,0.7011574507,
269.0102539,0.7094082236,269.0102539,0.708673656,
268.4981384,0.7160284519,268.4981384,0.7156300545,
267.9860229,0.7263450027,267.9860229,0.7251527905,
267.5132751,0.735706985,267.5132751,0.7341409326,
267.0010681,0.7418640852,267.0010681,0.7406206727,
266.4888611,0.7516758442,266.4888611,0.7506912351,
266.0159912,0.7586861849,266.0159912,0.7575635314,
265.5037537,0.7691636682,265.5037537,0.767052114,
264.9914551,0.7809081078,264.9914551,0.778667748,
264.5185242,0.7883287668,264.5185242,0.7872958779,
264.0061951,0.8007265925,264.0061951,0.7992762327,
263.4938049,0.8113751411,263.4938049,0.810331881,
262.9814148,0.8247686028,262.9814148,0.8237976432,
262.5083923,0.8378798962,262.5083923,0.8366262317,
261.9959412,0.850780189,261.9959412,0.8492776752,
261.48349,0.8702700734,261.48349,0.8685058951,
261.010376,0.8833071589,261.010376,0.8809078336,
260.4978943,0.8986344337,260.4978943,0.896771431,
259.985321,0.9178760052,259.985321,0.9154127836,
259.512146,0.9343767762,259.512146,0.9317579269,
258.9995422,0.9594739079,258.9995422,0.9573794007,
258.486908,0.9837397337,258.486908,0.9822305441,
258.0137024,1.010625362,258.0137024,1.006960988,
257.5010071,1.042329788,257.5010071,1.039248466,
256.9883118,1.069396257,256.9883118,1.06506741,
256.5149841,1.108371496,256.5149841,1.103911877,
256.0022278,1.144858837,256.0022278,1.138469577,
255.4894562,1.185766697,255.4894562,1.181584597,
255.016098,1.236777782,255.016098,1.234298348,
254.5032501,1.281300545,254.5032501,1.276436925,
253.9904175,1.344734192,253.9904175,1.342334032,
253.5169525,1.409498692,253.5169525,1.402818084,
253.0040436,1.468698144,253.0040436,1.472475648,
252.4911041,1.542939663,252.4911041,1.545223117,
252.0176086,1.597517729,252.0176086,1.600045919,
251.5046082,1.703397512,251.5046082,1.709357977,
250.9915924,1.80640018,250.9915924,1.817965627,
250.5180054,1.907673001,250.5180054,1.910151243,
250.0049438,2.034701109,250.0049438,2.048279762,
249.4918671,2.130757809,249.4918671,2.147135019,
249.0182343,2.253543854,249.0182343,2.26432085,
248.5051117,2.392795801,248.5051117,2.411942244,
247.9919281,2.507350683,247.9919281,2.529014111,
247.518219,2.60514617,247.518219,2.622057438,
247.0049896,2.686787605,247.0049896,2.702023745,
246.4917603,2.789456606,246.4917603,2.799509764,
246.0179901,2.879100323,246.0179901,2.892687082,
245.504715,2.942175388,245.504715,2.953574181,
244.9914093,2.950526476,244.9914093,2.963858843,
244.5175323,2.985100746,244.5175323,2.993498564,
244.0041809,3.01086092,244.0041809,3.004190445,
243.4908142,3.017498493,243.4908142,3.009277821,
243.0169067,3.022540569,243.0169067,3.017786026,
242.5034943,3.007803679,242.5034943,3.017806053,
241.9900208,3.023247004,241.9900208,3.028392315,
241.5160522,3.019897938,241.5160522,3.024201393,
241.002533,3.010050058,241.002533,3.017226458,
240.4889984,3.001661539,240.4889984,2.995844841,
